,StreetAddress,MlsId,MlsName,DateListed,Price,Description,Bedrooms,FullBathrooms,Appliances,RoomCount
127,235 OCEAN PARK,16174642,CLAW,2016-10-26 00:00:00,2079000.00,"Spectacular 3 bed/3 bath + loft townhome located in the heart of Silicon Beach, Just one block from Main Street, and three blocks from the beach! This FAIA Award winning Michael Folonis creation has a",3,2,RangeOven,bedrooms
198,1121 Hillcroft Road,316010077,ITECH,2016-10-27 12:33:34,1895000.00,"This sensational 1927 Spanish Colonial, revived to perfection, stands proudest among the other notable properties in this most coveted location of Rossmoyne Historic District. Rossmoyne is one of Glen",4,4,,bedrooms
132,609 11TH ST,16175808,CLAW,2016-10-28 00:00:00,3195000.00,"Charming original Spanish style 3 bedroom + 1.75 bath single level home. Approximately 2,266 sq ft on a 50~150 lot with pool and converted garage. Tons of natural light, hardwood floors and original d",3,1,Built-Ins,bedrooms
89,3292 INGLEWOOD,16167486,CLAW,2016-10-29 00:00:00,7750.00,"If you love the magnificence of a great view, this is one of best. King of the Hill panoramic views of Los Angeles and the the mountains beyond. Dramatic architectural home by Escher Gunewardena, loca",4,2,RangeOven,bedrooms
131,5625 W CRESCENT PARK,16175522,CLAW,2016-10-29 00:00:00,799000.00,"Elegant contemporary two bedroom condo at the much sought after Metro in Playa Vista. Located on the 3rd floor, this unit has been impeccably maintained and was recently upgraded. Step into the formal",2,2,Range Hood,bedrooms
201,3263 Orlando Road,316010184,ITECH,2016-10-31 00:00:00,3950.00,"San Marino Schools! Located in a quiet cul de sac, this traditional single story ranch home has 4 bedrooms and 3.5 bath including permitted guest house ( approx.545 sqft) in San Marino school district",4,3,,bedrooms
134,610 N Orlando AVE,16176498,CLAW,2016-11-01 00:00:00,3550.00,"Extensively Remodeled Units for Lease in prime and hip WeHo! Modern designer finishes include French Oak laminate wood flooring throughout, a kitchen complete with stainless steel appliances, Caesarst",2,2,Microwave,bedrooms
124,4746 TOLAND WAY,16174184,CLAW,2016-11-02 00:00:00,768000.00,"Come discover an enchanting brick cottage in the heart of Highland Park. Once you step under the bougainvillea onto the flagstone porch, you'll be smitten. 4746 Toland Way was designed by LA architect",2,1,,bedrooms
202,555 Sierra Madre Boulevard,316010241,ITECH,2016-11-02 11:55:26,2485000.00,"Located in the desirable city of San Marino, near the prestigious Huntington Library, perched up and set back from the street, is this 4 bedrooms 4 baths whimsical traditional. It has been extensively",4,1,Free Standing Gas,bedrooms
107,1227 GRANVILLE AVE,16171784,CLAW,2016-11-03 00:00:00,969000.00,"Spacious two story, top floor condo with 3 bedrooms and 3 bathrooms. Close proximity to the area's best bars and restaurants. Condo has vaulted ceilings, hardwood floors in living room, loft ideal for",3,3,RangeOven,bedrooms
111,1102 GALLOWAY ST,16172836,CLAW,2016-11-03 00:00:00,5985000.00,"A grand union of modern craftsmanship and traditional architecture, this magnificent Cape Cod was conceived by EMMA, the developers responsible for the redesign of Santa Barbara Airport's historic ter",6,8,Built-Ins,bedrooms
135,11435 BIONA DR,16177116,CLAW,2016-11-03 00:00:00,1368000.00,"Beautiful Four Bedroom + Studio home. Located on a Corner Lot. Warm & inviting spacious living room filled w/ character touches such as peg & groove hardwood floors, wood beam ceiling and decorative f",4,1,Oven,bedrooms
139,3850 GLENALBYN DR,16177332,CLAW,2016-11-03 00:00:00,650000.00,Impeccable home!!! Tons of upgrades!!! Remodeled kitchen with stainless steel appliances and granite counter tops. 2-car attached garage. Zoning is possible for backyard expansion. Lots of possibiliti,3,2,Microwave,bedrooms
203,265 West California Boulevard #8,316010261,ITECH,2016-11-03 07:20:11,608000.00,"Fantastic three bedroom townhome located in Cal Ritz-Park complex across from Singer Park. Conveniently located close to Old Town, Rose Parade route, Huntington Hospital. This unit is bright and light",3,1,Cooktop - Gas,bedrooms
204,0 Roselawn,316010267,ITECH,2016-11-03 00:00:00,150000.00,Great Opportunity! Buyer needs to check with City of Glendale and LA County Flood Control for possible specific uses of this property. Plans drawn in 2005 are available for viewing.,0,,,
136,849 S BROADWAY,16177234,CLAW,2016-11-04 00:00:00,2649000.00,"From the unprecedented Penthouse Collection of actor, producer, musician and real estate investor Johnny Depp comes this two story, 2 bedroom/3 bath residence featuring 2,400 square feet of vibrantly-",2,2,Built-Ins,bedrooms
137,849 S BROADWAY,16177260,CLAW,2016-11-04 00:00:00,2750000.00,"From the unprecedented Penthouse Collection of actor, producer, musician and real estate investor Johnny Depp comes this two story, 2 bedroom/3 bath residence situated within Los Angeles's most archit",2,2,Built-Ins,bedrooms
138,849 S BROADWAY,16177272,CLAW,2016-11-04 00:00:00,1999000.00,"From the unprecedented Penthouse Collection of actor, producer, musician and real estate investor Johnny Depp comes this two story, 1 bedroom/2 bath residence sitting atop the landmark Eastern Columbi",1,1,Built-Ins,bedrooms
141,849 S BROADWAY,16177590,CLAW,2016-11-04 00:00:00,1565000.00,"This two bedroom residence located in Downtown L.A.'s landmark Eastern Columbia Building has been completely reimagined by designer/architect Andrea Keller, drawing its design inspiration from Havana,",2,2,Built-Ins,bedrooms
205,766 Elmira Street,316010316,ITECH,2016-11-05 06:16:15,540000.00,"Charming, updated (approx 4 years ago) Spanish-style single family framed by lovely landscaping. Truly move-in ready. Centrally located, close to shopping, with easy freeway access. The remodeled kitc",3,1,Built-In Gas,bedrooms
146,255 MAIN ST,16178870,CLAW,2016-11-09 00:00:00,6495.00,"One of a kind 2 bedroom, 2 bath modern penthouse with loft plus ocean views. This New York style Penthouse has high ceilings, lots of natural light, and a sunken living room with fireplace! The open f",2,2,Built-Ins,bedrooms
208,2079 Skyview Drive,316010451,ITECH,2016-11-09 00:00:00,2175000.00,A dramatic backdrop of the San Gabriel Mountains and mature scenery frames the magnificent setting for this superb Mediterranean revival located in Altadena's premier estate area. Home to a celebrity ,5,5,,bedrooms
129,11730 CHENAULT ST,16174844,CLAW,2016-11-10 00:00:00,3295000.00,"Located in a highly desirable Brentwood location, this delightful Traditional home is filled with charm and character. Flooded with natural light, this home boasts three en-suite bedrooms upstairs, in",4,4,Built-Ins,bedrooms
207,391 West Harriet Street,316010426,ITECH,2016-11-10 00:00:00,650000.00,"Wonderful traditional 3 bedrooms, 2 bathrooms home located in Altadena. Granite counter-tops in the kitchen and baths, newer cabinets throughout. Light and bright living room with fireplace, formal di",3,2,RangeOven,bedrooms
142,1290 OAKWOOD DR,16178020,CLAW,2016-11-11 00:00:00,1188000.00,"Come away to this enchanting cottage in an idyllic, creekside setting to escape the city hustle and relax. Verdant green lawns surround you as you stroll up the stone path to this two bedroom, two bat",2,1,Range Hood,bedrooms
145,1 EASTWIND ST,16178844,CLAW,2016-11-11 00:00:00,3695000.00,"Rising tall over a rare stretch of soft sand in Marina Del Rey, this epic Lorcan O'Herlihy-designed two level penthouse offers nearly 800 square feet of outdoor terrace including a rooftop lounge evoc",3,2,Built-Ins,bedrooms
147,942 VENEZIA AVE,16178966,CLAW,2016-11-11 00:00:00,1795000.00,"Impeccably updated Spanish Modern in the heart of Venice Beach. A tall secluded hedge welcomes you to the grassy front yard and porch. A wide-open floor plan, live edge center island and large grassy ",2,2,Built-Ins,bedrooms
149,330 S BARRINGTON AVE,16179426,CLAW,2016-11-11 00:00:00,749000.00,"2+2 beautifully updated condo, located on the back of the complex and overlooking the park-like wooded area owned by the VA. This is a very idyllic and tranquil location that is convenient to everythi",2,2,Built-Ins,bedrooms
150,5340 DENNY AVE,16179532,CLAW,2016-11-11 00:00:00,1100000.00,"Approved 8-Unit construction project in the NoHo Arts District. The Project is stamped ""Ready-to-Issue"" and ready to go. A stone's throw from everything that the North Hollywood Arts District has to o",0,,,
151,5625 CASE AVE,16179540,CLAW,2016-11-11 00:00:00,1650000.00,"Bring your Developers! This property is perfect for a Small Lot Subdivision. Build 10 Units by Right. The site is made up of two full lots and a bit more for a total of over 16,000 square feet. With t",0,,,
210,27815 Zion Court,316010528,ITECH,2016-11-13 00:00:00,569900.00,Beautiful Hillcrest home for sale with 4 bedrooms (1 downstairs) and 3 baths. Upon entering you will be greeted with a beautiful living room with high ceilings along with dining area. Enjoy entertaini,4,3,Oven,bedrooms
152,2919 GRAYSON AVE,16179602,CLAW,2016-11-14 00:00:00,3986000.00,"Embodying the relaxed casual elegance and privacy of a European-style compound, this exquisitely designed contemporary home on a tree-lined Venice street is the realization of every coastal California",3,1,Built-In BBQ,bedrooms
211,5042 Indianola Way,316010536,ITECH,2016-11-14 00:00:00,2600000.00,"5042 Indianola Way is a one of a kind property, located on a desirable cul-de-sac in La Canada Flintridge, close to Paradise Canyon Elementary and town. This handsome single story traditional home fea",5,4,Built-In BBQ,bedrooms
155,4714 LA VILLA MARINA,16181224,CLAW,2016-11-18 00:00:00,839000.00,"Exquisitely renovated multilevel mid century town home 2 + 2.5 end unit with bonus office/nursery. Open floor plan. Spacious kitchen with stainless steel sink, oven and dishwasher. Cozy secluded patio",2,2,Built-Ins,bedrooms
156,33583 MULHOLLAND HWY,16181228,CLAW,2016-11-18 00:00:00,7488000.00,"Set to awe-inspiring ocean views and soaring sandstone mountain peaks, this striking home, built by world-renowned Architect Ed Niles, affords the rare opportunity to live within the majesty of nature",4,4,Built-In BBQ,bedrooms
212,574 Garfield Avenue,316010634,ITECH,2016-11-18 00:00:00,785000.00,Located in the prestigious and desirable Franciscan Woods. This tri-level townhouse is exceptional in every aspect. The newly built front deck is ideal for relaxing and entertaining with amazing views,2,3,Built-Ins,bedrooms
214,545 Westgate Street,316010702,ITECH,2016-11-18 07:45:06,1025000.00,"ALARM IS ON.Two-story Victorian home with an inviting wraparound porch and lots of character throughout and many nice upgrades including copper plumbing, updated electrical and central air. Large livi",4,1,Built-In Gas,bedrooms
