StreetAddress,MlsId,MlsName,DateListed,Price,Description,Bedrooms,FullBathrooms,Appliances,RoomCount
235 MAIN ST,16170802,CLAW,2016-10-12 00:00:00,999000.00,"A spacious expertly designed condominium located on Main Street in Venice. Located in close proximity to Whole Foods, Rose Ave, and Venice Beach. This two bedroom two bath recently updated condo boast",2,2,RangeOven,bedrooms
15630 WOODVALE RD,16171376,CLAW,2016-10-17 00:00:00,3499000.00,"Located in the heart of Royal Oaks of Encino, sits a newly remodeled contemporary California craftsmanship 5BD/5.5 BA. This Cape Cod-inspired interior has rich French Oak floors throughout, generous l",5,5,Built-In BBQ,bedrooms
1227 GRANVILLE AVE,16171784,CLAW,2016-11-03 00:00:00,969000.00,"Spacious two story, top floor condo with 3 bedrooms and 3 bathrooms. Close proximity to the area's best bars and restaurants. Condo has vaulted ceilings, hardwood floors in living room, loft ideal for",3,3,RangeOven,bedrooms
7462 CLINTON ST,16171978,CLAW,2016-10-17 00:00:00,825000.00,"Melrose Village Spanish Bungalow Heavy Fixer/Tear-down. Property to be sold in AS-IS condition with no repairs, credits, or warranties. Located in prime 90036 neighborhood moments from The Grove, Melr",2,1,,bedrooms
610 N Orlando AVE,16172792,CLAW,2016-10-19 00:00:00,3750.00,"Extensively Remodeled Units for Lease in prime and hip WEHO! Modern designer finishes include French Oak laminate flooring throughout, kitchen with stainless steel appliances, caesartone counters and ",1,2,Microwave,bedrooms
11166 W SUNSET,16172810,CLAW,2016-10-24 00:00:00,4495000.00,"A magnificent new gated home beautifully situated on a large lot (over 13,000 feet) at the intersection of Bel-Air and Westwood. Convenient and easy access to Westwood Village, Beverly Hills, Brentwoo",5,5,Built-In BBQ,bedrooms
1102 GALLOWAY ST,16172836,CLAW,2016-11-03 00:00:00,5985000.00,"A grand union of modern craftsmanship and traditional architecture, this magnificent Cape Cod was conceived by EMMA, the developers responsible for the redesign of Santa Barbara Airport's historic ter",6,8,Built-Ins,bedrooms
610 N Orlando AVE,16172880,CLAW,2016-10-19 00:00:00,3750.00,"Extensively Remodeled Units for Lease in prime and hip WEHO! Modern designer finishes include French Oak laminate flooring throughout, a kitchen with stainless steel appliances, caesartone counters an",2,2,Microwave,bedrooms
11158 OPHIR DR,16172958,CLAW,2016-10-21 00:00:00,2595000.00,"Gorgeous 3 Bedroom, 3 Bathroom Traditional home exquisitely remodeled! Great flow for entertaining with formal dining & living area, hardwood floors, beautiful moldings, two fireplaces, top of the lin",3,3,RangeOven,bedrooms
2307 OAKWOOD AVE,16173026,CLAW,2016-10-19 00:00:00,9250.00,"Eco Chic Living in the heart of Venice! 2,400sq feet single family house on three levels built in 2008. 3 bedrooms, 3.5 baths.Lofty architectural living w volume, light & space. High ceilings, multipl",3,4,Built-Ins,bedrooms
10267 LELIA LN,16173052,CLAW,2016-10-20 00:00:00,1495000.00,"Situated at the end of a quiet canyon lane, this stunning contemporary home offers a tranquil, serene setting. Soaring ceilings, expansive windows, and skylights create tremendous natural light throug",3,3,,bedrooms
3632 VALLEY MEADOW RD,16173190,CLAW,2016-10-20 00:00:00,1295000.00,This picturesque mid-century ranch style home on a large quiet lot in coveted Royal Woods is the home you have been waiting for! Open and flowing public areas separated from the private bedroom wing m,3,2,RangeOven,bedrooms
1024 PALISADES BEACH RD,16173212,CLAW,2016-10-20 00:00:00,9250000.00,"As part of Santa Monica's historically exclusive Gold Coast, where Hollywood's elite first converged to claim a beachfront oasis to call their own, this John Byers-designed Spanish Colonial Revival el",5,3,Built-Ins,bedrooms
32506 PACIFIC COAST HWY,16173320,CLAW,2016-10-20 00:00:00,35000.00,"Stunning beach front property! This remodeled home nestled in the Encinal Bluffs, sits right above the sand on a quiet beach cove. This quintessential Tuscan home features authentic finishes of reclai",3,3,Built-In BBQ,bedrooms
6766 PORTSHEAD RD,16173342,CLAW,2016-10-20 00:00:00,35000.00,This magnificent Tuscan home with stunning ocean views sits on over an acre of beautiful landscaped grounds. The property is located in the highly desirable neighborhood of Point Dume with beach keys ,6,5,Built-In BBQ,bedrooms
525 N N. CRESCENT HEIGHTS,16173736,CLAW,2016-10-21 00:00:00,3995.00,"Adorable renovated Country English cottage with hardwood floors, two bedrooms, two renovated baths and tons of natural light. Master suite with renovated spa bath with vaulted ceilings and skylight. U",2,1,RangeOven,bedrooms
450 N SKYEWIAY RD,16173746,CLAW,2016-10-21 00:00:00,2894000.00,Tucked away on a serene street North of Sunset in one of the most sought after areas of Brentwood is 450 N. Skyewiay. This immaculate and ample traditional home has been meticulously maintained and ri,3,2,Built-In BBQ,bedrooms
1023 S BUNDY DR,16173754,CLAW,2016-10-21 00:00:00,2049000.00,"Romantic Spanish Hacienda hidden behind a tall privacy hedge. A true retreat full of old-world charm. 2 bedrooms, 2.5 baths plus a converted garage with office, den and ~ bath. Filled with natural lig",2,1,Built-Ins,bedrooms
11863 DARLINGTON AVE,16173864,CLAW,2016-10-24 00:00:00,1195000.00,"You immediately feel at home when you step into this luxurious 2 bedrooms and 2.5 bath condominium with an open floor plan and designer finishes. The living quarters features bamboo floors, crown mold",2,2,Built-Ins,bedrooms
4746 TOLAND WAY,16174184,CLAW,2016-11-02 00:00:00,768000.00,"Come discover an enchanting brick cottage in the heart of Highland Park. Once you step under the bougainvillea onto the flagstone porch, you'll be smitten. 4746 Toland Way was designed by LA architect",2,1,,bedrooms
1712 MANZANITA PARK AVE,16174228,CLAW,2016-10-24 00:00:00,1995000.00,Step into this beautifully designed home located at the end of a cul-de-sac nestled in the hills of Malibu. This peaceful and private oasis is tucked behind a walled courtyard entry and gated driveway,4,2,,bedrooms
245 S BURLINGAME AVE,16174500,CLAW,2016-10-25 00:00:00,7350000.00,"Truly a rare opportunity in Brentwood Park, minutes to the Country Mart, this charming Traditional has great scale and flow -- both indoors and out -- and is ideally suited for gracious living and ent",5,3,Built-Ins,bedrooms
235 OCEAN PARK,16174642,CLAW,2016-10-26 00:00:00,2079000.00,"Spectacular 3 bed/3 bath + loft townhome located in the heart of Silicon Beach, Just one block from Main Street, and three blocks from the beach! This FAIA Award winning Michael Folonis creation has a",3,2,RangeOven,bedrooms
18326 CLIFFTOP WAY,16174714,CLAW,2016-10-25 00:00:00,16000.00,"Panoramic ocean views from this stunning, modern architectural home designed to perfection! Gorgeous open floor plan with high ceilings and skylights. The grand living room features walls of glass wit",3,2,Microwave,bedrooms
11730 CHENAULT ST,16174844,CLAW,2016-11-10 00:00:00,3295000.00,"Located in a highly desirable Brentwood location, this delightful Traditional home is filled with charm and character. Flooded with natural light, this home boasts three en-suite bedrooms upstairs, in",4,4,Built-Ins,bedrooms
701 N ALPINE DR,16174878,CLAW,2016-10-27 00:00:00,7995000.00,"Elegantly situated in the heart of Beverly Hills sits this 2 story Mediterranean home w/ architectural details, 5 bdrms, 6 ~ bas & an inviting GH w/ add'l bedrm & bath. Enter thru the dramatic 2 story",5,5,Built-Ins,bedrooms
5625 W CRESCENT PARK,16175522,CLAW,2016-10-29 00:00:00,799000.00,"Elegant contemporary two bedroom condo at the much sought after Metro in Playa Vista. Located on the 3rd floor, this unit has been impeccably maintained and was recently upgraded. Step into the formal",2,2,Range Hood,bedrooms
609 11TH ST,16175808,CLAW,2016-10-28 00:00:00,3195000.00,"Charming original Spanish style 3 bedroom + 1.75 bath single level home. Approximately 2,266 sq ft on a 50~150 lot with pool and converted garage. Tons of natural light, hardwood floors and original d",3,1,Built-Ins,bedrooms
7463 ROSEWOOD AVE,16175946,CLAW,2016-10-31 00:00:00,899000.00,"Beautifully renovated character Spanish Bungalow in amazing Melrose Village (90036) location. Living room w/ barreled ceilings, formal dining room, newer hardwood floors, wood burning fireplace, newer",2,1,Microwave,bedrooms
610 N Orlando AVE,16176498,CLAW,2016-11-01 00:00:00,3550.00,"Extensively Remodeled Units for Lease in prime and hip WeHo! Modern designer finishes include French Oak laminate wood flooring throughout, a kitchen complete with stainless steel appliances, Caesarst",2,2,Microwave,bedrooms
11435 BIONA DR,16177116,CLAW,2016-11-03 00:00:00,1368000.00,"Beautiful Four Bedroom + Studio home. Located on a Corner Lot. Warm & inviting spacious living room filled w/ character touches such as peg & groove hardwood floors, wood beam ceiling and decorative f",4,1,Oven,bedrooms
849 S BROADWAY,16177234,CLAW,2016-11-04 00:00:00,2649000.00,"From the unprecedented Penthouse Collection of actor, producer, musician and real estate investor Johnny Depp comes this two story, 2 bedroom/3 bath residence featuring 2,400 square feet of vibrantly-",2,2,Built-Ins,bedrooms
849 S BROADWAY,16177260,CLAW,2016-11-04 00:00:00,2750000.00,"From the unprecedented Penthouse Collection of actor, producer, musician and real estate investor Johnny Depp comes this two story, 2 bedroom/3 bath residence situated within Los Angeles's most archit",2,2,Built-Ins,bedrooms
849 S BROADWAY,16177272,CLAW,2016-11-04 00:00:00,1999000.00,"From the unprecedented Penthouse Collection of actor, producer, musician and real estate investor Johnny Depp comes this two story, 1 bedroom/2 bath residence sitting atop the landmark Eastern Columbi",1,1,Built-Ins,bedrooms
3850 GLENALBYN DR,16177332,CLAW,2016-11-03 00:00:00,650000.00,Impeccable home!!! Tons of upgrades!!! Remodeled kitchen with stainless steel appliances and granite counter tops. 2-car attached garage. Zoning is possible for backyard expansion. Lots of possibiliti,3,2,Microwave,bedrooms
11017 WAGNER ST,16177368,CLAW,2016-11-03 00:00:00,1285000.00,"Sensational home in the coveted Vets Park neighborhood. A true move-in ready, opportunity. Meticulously maintained. Features include, oak flooring, large master suite, bright kitchen with breakfast no",2,1,Built-In BBQ,bedrooms
849 S BROADWAY,16177590,CLAW,2016-11-04 00:00:00,1565000.00,"This two bedroom residence located in Downtown L.A.'s landmark Eastern Columbia Building has been completely reimagined by designer/architect Andrea Keller, drawing its design inspiration from Havana,",2,2,Built-Ins,bedrooms
1290 OAKWOOD DR,16178020,CLAW,2016-11-11 00:00:00,1188000.00,"Come away to this enchanting cottage in an idyllic, creekside setting to escape the city hustle and relax. Verdant green lawns surround you as you stroll up the stone path to this two bedroom, two bat",2,1,Range Hood,bedrooms
1730 CAMINO PALMERO ST,16178144,CLAW,2016-11-07 00:00:00,395000.00,"Great opportunity! 1 bedroom/1 bathroom condo, mins From the 101 & Hollywood Blvd. Well maintained cherry wood cabinets with stainless steel appliances. Double deep sink with modern Moen faucet & chro",1,1,Built-Ins,bedrooms
6237 BONSALL DR,16178498,CLAW,2016-11-08 00:00:00,30000.00,A prime flat ~1.5 acre lot w/ a unique use of modern finishes & innovative design by Vitus Matare. This private gated single story marvel is adorned w/ mature trees ranging from avocados to evergreens,3,3,,bedrooms
1 EASTWIND ST,16178844,CLAW,2016-11-11 00:00:00,3695000.00,"Rising tall over a rare stretch of soft sand in Marina Del Rey, this epic Lorcan O'Herlihy-designed two level penthouse offers nearly 800 square feet of outdoor terrace including a rooftop lounge evoc",3,2,Built-Ins,bedrooms
255 MAIN ST,16178870,CLAW,2016-11-09 00:00:00,6495.00,"One of a kind 2 bedroom, 2 bath modern penthouse with loft plus ocean views. This New York style Penthouse has high ceilings, lots of natural light, and a sunken living room with fireplace! The open f",2,2,Built-Ins,bedrooms
942 VENEZIA AVE,16178966,CLAW,2016-11-11 00:00:00,1795000.00,"Impeccably updated Spanish Modern in the heart of Venice Beach. A tall secluded hedge welcomes you to the grassy front yard and porch. A wide-open floor plan, live edge center island and large grassy ",2,2,Built-Ins,bedrooms
1760 WELLESLEY DR,16179108,CLAW,2016-11-10 00:00:00,1749000.00,"Don't miss this impressive 2,510sqft traditional located on a corner lot in Sunset Park. Perched up on top of the hill, this home has great views from the second level master suite. There are three ad",4,3,RangeOven,bedrooms
330 S BARRINGTON AVE,16179426,CLAW,2016-11-11 00:00:00,749000.00,"2+2 beautifully updated condo, located on the back of the complex and overlooking the park-like wooded area owned by the VA. This is a very idyllic and tranquil location that is convenient to everythi",2,2,Built-Ins,bedrooms
5340 DENNY AVE,16179532,CLAW,2016-11-11 00:00:00,1100000.00,"Approved 8-Unit construction project in the NoHo Arts District. The Project is stamped ""Ready-to-Issue"" and ready to go. A stone's throw from everything that the North Hollywood Arts District has to o",0,,
5625 CASE AVE,16179540,CLAW,2016-11-11 00:00:00,1650000.00,"Bring your Developers! This property is perfect for a Small Lot Subdivision. Build 10 Units by Right. The site is made up of two full lots and a bit more for a total of over 16,000 square feet. With t",0,,
2919 GRAYSON AVE,16179602,CLAW,2016-11-14 00:00:00,3986000.00,"Embodying the relaxed casual elegance and privacy of a European-style compound, this exquisitely designed contemporary home on a tree-lined Venice street is the realization of every coastal California",3,1,Built-In BBQ,bedrooms
308 N SYCAMORE AVE,16180182,CLAW,2016-11-16 00:00:00,1875000.00,This exquisite corner residence within Los Angeles' most distinguished pre-war building embraces the forgotten elegance of old-world European design while affording the modern comforts of present day ,3,3,Range Hood,bedrooms
731 N CHESTER AVE,16180298,CLAW,2016-11-17 00:00:00,1125000.00,This 1913 Craftsman is situated in the highly sought after Bungalow Heaven district. The home evokes the soul of vintage craftsman with thoughtful upgrades for modern living.The living room has a fire,3,2,RangeOven,bedrooms
4714 LA VILLA MARINA,16181224,CLAW,2016-11-18 00:00:00,839000.00,"Exquisitely renovated multilevel mid century town home 2 + 2.5 end unit with bonus office/nursery. Open floor plan. Spacious kitchen with stainless steel sink, oven and dishwasher. Cozy secluded patio",2,2,Built-Ins,bedrooms
33583 MULHOLLAND HWY,16181228,CLAW,2016-11-18 00:00:00,7488000.00,"Set to awe-inspiring ocean views and soaring sandstone mountain peaks, this striking home, built by world-renowned Architect Ed Niles, affords the rare opportunity to live within the majesty of nature",4,4,Built-In BBQ,bedrooms
828 BALLARD CANYON RD,16968013,CLAW,2016-01-07 00:00:00,2879000.00,"Meticulously maintained historic 5-acre horse ranch nestled in the wine country of the Santa Ynez Valley combines exquisite craftsmanship with an artful blend of rustic wood, warm stone, and bronze to",4,4,Range Hood,bedrooms
5880 Foxview DR,16970717,CLAW,2016-01-13 00:00:00,599000.00,"Amazing white water, ocean view lot in gated community. Very private road. Multi-Million dollar homes on street. Gorgeous coastline Views. Huge up-side for the right buyer. Per Seller - Home may have ",0,,
6692 WILDLIFE RD,16970871,CLAW,2016-01-20 00:00:00,45000.00,"New Construction Point Dume Rental with coveted Beach Rights available immediately. This amazing, designer perfect, super private/secure home comes fully furnished and is available immediately. Book m",5,6,Built-In BBQ,bedrooms
2148 Dorado Drive,315010127,ITECH,2015-10-09 00:00:00,658900.00,"House was taken down to the studs, has no plumbing and no electrical and only sub-flooring in some of the rooms. Single level property in a great neighborhood, located in the gentle hills of Rancho Pa",3,2,,bedrooms
845 Highland Drive,316000525,ITECH,2016-02-04 00:00:00,4699999.00,"Unbelievable custom home in the hills of La Canada Flintridge! The home sits peacefully on a multi-level 40,000+ square foot lot and is extremely private with beautiful views of the mountains. Enterta",6,3,RangeOven,bedrooms
887 Flintridge Avenue,316004149,ITECH,2016-05-05 00:00:00,6495000.00,Absolutely exquisite Spanish Colonial Revival Estate located in the heart of Flintridge. Former Showcase House magnificently situated on almost 2 flat acres of private park-like grounds with multiple ,6,3,Built-In Gas,bedrooms
64 North Arroyo Boulevard,316005809,ITECH,2016-06-22 00:00:00,919000.00,"Meticulously maintained light-filled townhouse in the Altos Arroyo complex is looking for its next owner. Main floor features hardwood flooring throughout, living room with vaulted ceilings and firepl",4,2,,bedrooms
899 Winston Avenue,316005875,ITECH,2016-06-22 00:00:00,2700000.00,"Located on a quiet street in the desirable San Marino neighborhood, is this charming and cheerful traditional. It boasts 3 beds and 3 baths downstairs, and a private bedroom suite upstairs. Inviting c",4,3,Double Oven,bedrooms
1401 Via Del Rey,316006132,ITECH,2016-07-15 00:00:00,1988000.00,"Mid Century 1970's iconic Charles Wong designed South Pasadena home, filled with original character and charm, situated on a corner lot atop of Via del Rey, overlooking Pasadena, the Rose Bowl and a g",6,4,Built-Ins,bedrooms
2806 Glendower Avenue,316006255,ITECH,2016-07-04 00:00:00,2488000.00,Incredible opportunity! Absolute Best VALUE above the Blvd with SPECTACULAR VIEWS!! Stunning custom contemporary view home situated on one of the premier streets in Los Feliz. An architectural gem whi,6,6,,bedrooms
764 Michigan Boulevard,316006757,ITECH,2016-09-02 00:00:00,1898000.00,"The Prairie style architecture of this magnificent home, with its broad eaves, pergola covered porte-cochere and expansive front porch, welcome you home to the tree-shaded parkways and expansive lawns",5,1,,bedrooms
5215 Vista Miguel Drive,316007195,ITECH,2016-07-29 00:00:00,1848000.00,Quintessential Cape Cod style home located in a prime area of La Canada Flintridge. Fantastic family floor plan with sunlight-filled rooms throughout which flow seamlessly to an inviting veranda and e,4,3,,bedrooms
470 South Santa Anita Avenue,316007323,ITECH,2016-08-03 00:00:00,1450000.00,"Special two-story Spanish Colonial Revival featuring Andalusian architectural details. Separate single-story wing dedicated to large living room with vaulted ceiling supported by trussed wooden beams,",4,3,Built-In Gas,bedrooms
1406 Wellington Avenue,316007560,ITECH,2016-09-06 00:00:00,1088000.00,"Located in the prestigious Linda Vista neighborhood of Pasadena, this adorable home welcomes you with a beautifully landscaped front yard and charming porch. Cozy living room with fireplace, wood beam",3,2,Oven,bedrooms
82 Monterey Lane,316007701,ITECH,2016-08-15 11:31:13,879000.00,"Quaint Sierra Madre Traditional corner lot home on cul-de-sac street. Wonderful open and bright floor plan with 3 bedrooms, 2 bathrooms, and spacious family room that opens to the back yard. This home",3,1,Built-In Electric,bedrooms
21552 Yucatan Avenue,316007842,ITECH,2016-08-19 00:00:00,799000.00,"Beautifully remodeled five bedroom, three bath home located south of the Blvd. This home exemplifies an ideal open floorplan, soaring ceilings & an abundance of natural light. Features include a cooks",5,2,Gas,bedrooms
3138 Cloudcrest Road,316007976,ITECH,2016-08-24 00:00:00,850000.00,"Peace, calm and quiet in the hills of La Crescenta, this Traditional-Contemporary home offers what you've been waiting for. Within the last two years this three bedroom,/two bathroom home has been ext",3,2,,bedrooms
2388 North Altadena Drive,316008372,ITECH,2016-09-06 00:00:00,1790000.00,House Re-Imagined! It is incredible what can be done for $50K. Come and see the transformation. Canopies of Oaks shelter this one-of-a-kind Rustic Craftsman residence that rests on the banks of Eaton ,6,5,Free Standing Gas,bedrooms
2329 Lake View Avenue,316008538,ITECH,2016-09-09 00:00:00,1349000.00,"Designed by noted Architect, Steven Hill, this stunning example of contemporary modernism is bound to impress you. Perched on an expansive ridge in Silverlake Heights, this 2,100 Sf contemporary home ",3,2,Built-In Gas,bedrooms
1990 Hilldale Drive,316008853,ITECH,2016-09-19 00:00:00,899000.00,"Charming hilltop home! Built in 1941, this 3 bedroom 2 bathroom traditional 2 level home has been meticulously maintained by the current owners for the past 25 years and is described as having good bo",3,1,,bedrooms
1124 East Chestnut Street #39,316008990,ITECH,2016-09-28 00:00:00,2400.00,"Charming townhouse style condo. Spacious, beautifully maintained light filled two bedroom two bath unit with hardwood floors, fireplace, two balconies, in unit washer/dryer and private two car garage.",2,2,Free Standing Gas,bedrooms
2454 Oswego Street #201,316009006,ITECH,2016-09-25 00:00:00,728000.00,"Architectural excellence and modern finishes combine seamlessly in this luxurious single level rear unit. Built in 2007, the complex boasts idyllic qualities like lush foliage and curved paver-lined p",3,3,Free Standing Gas,bedrooms
2011 Hall Canyon Drive,316009078,ITECH,2016-09-26 00:00:00,3695000.00,"This timeless contemporary Craftsman residence in La Canada, built by C.H. Anderson, was once a grove of deodar pines, transformed into a property fit for entertaining and movement. Renowned architect",4,2,Built-In BBQ,bedrooms
247 Crystal Lane,316009157,ITECH,2016-09-28 00:00:00,575000.00,"Beautiful remodeled single family residence at the end of a cul-de-sac. The stunning large kitchen is truly a show stopper with dark custom cabinets including a wine rack, stone counter tops, recessed",3,1,Built-In Gas,bedrooms
901 South Flower Street #506,316009232,ITECH,2016-09-29 13:35:23,2650.00,"Situated in the vibrant downtown LA South Park area is this live/work light-filled one bedroom gem. It features open floor plan, modern built-in appliances, European cabinets, enclosed bedroom, ample ",1,1,,bedrooms
4842 Alminar Avenue,316009342,ITECH,2016-10-03 00:00:00,1339000.00,"Welcome to 4842 Alminar Ave., considered a prime location for many in La Canada! Alminar is a quaint tree lined street not far from schools, shopping and restaurants. This cozy and charming 3 bedroom,",3,2,Cooktop - Gas,bedrooms
8258 Owens Street,316009344,ITECH,2016-10-04 00:00:00,549000.00,"Charming traditional home on a nice tree lined street in Sunland. Built in 1953, this 3 bedroom 2 bathroom home has been well maintained and has many recent upgrades including wide plank hardwood floo",3,1,,bedrooms
4762 La Canada Boulevard,316009356,ITECH,2016-10-07 00:00:00,2195000.00,"This stunning 1926 Spanish estate sits on nearly 24,000 square feet of flat land and features a detached 1-BR/1-BA GUEST HOUSE. This house combines original character details with a fantastic floor pl",4,2,Cooktop - Gas,bedrooms
4113 Lanterman Lane,316009368,ITECH,2016-10-03 00:00:00,1195000.00,"Beautiful turn-key traditional in La Canada Flintridge. Fantastic floor plan for entertaining with great indoor-outdoor flow. Large living room/ dining room, cooks kitchen and breakfast nook open to t",4,1,,bedrooms
1436 Valane Drive,316009501,ITECH,2016-10-07 00:00:00,799000.00,"A dog-leg left from the first fairway of the Oakmont Country Club is where you will find this hidden, quaint street with friendly neighbors. This single-story, mid Century home has clean lines that ar",2,1,,bedrooms
526 Venado Vista Drive,316009646,ITECH,2016-10-12 00:00:00,1195000.00,"This 1957 ranch home is located on a quiet cul-de-sac near Paradise Canyon Elementary School and hiking trails. The home offers a large living/great room with high ceilings, fireplace, built-in cabine",3,2,,bedrooms
1320 Loreto Drive,316009693,ITECH,2016-10-14 00:00:00,1126000.00,"Price Reduction! Beautiful 1926 Character Spanish! Located on a peaceful street, this lovely Spanish Colonial is immaculate. Living Room Offers Gleaming Tongue and Groove Hardwood floors and the state",3,2,Built-Ins,bedrooms
4439 Alta Canyada Road,316009737,ITECH,2016-10-15 16:59:01,4000.00,Charming 3 BR/ 3 BA home FOR LEASE in the award-winning La Canada Unified School district. The updated kitchen features granite counters and opens to the family room and dining area. Spacious Master B,3,1,,bedrooms
330 Cordova Street #312,316009746,ITECH,2016-10-17 00:00:00,599000.00,"Just One and half blocks (5 minute walk) from the Metro Gold Line, this heavily-treed urban oasis is conveniently located near restaurants, shopping, art galleries, Old Pasadena, Paseo, South Lake Ave",2,2,Gas,bedrooms
385 South Oakland Avenue #105,316009753,ITECH,2016-10-19 00:00:00,355000.00,"Chic studio located on a wonderful tree-lined street in the heart of Pasadena. Well situated in the sophisticated Oakland Towers, this unit features a double door entry, large picture windows with vie",0,1,RangeOven,bathrooms
5715 Summit Crest Drive,316009802,ITECH,2016-10-18 00:00:00,1450000.00,"Beautiful property in desirable La Canada/Flintridge. Charming traditional one story house in a beautiful neighborhood, kitchen with breakfast room and convenient and spacious family room, Banquet siz",3,1,Gas/Electric Range,bedrooms
277 Atchison Street,316009844,ITECH,2016-10-19 21:51:45,3500.00,"Charming home located on a tree lined street. Great curb appeal, mature trees, backyard porch, hardwood floors, living room with a fireplace, nicely remodeled bathrooms, and kitchen, lots of closet sp",4,2,,bedrooms
705 East Palm Avenue,316009913,ITECH,2016-10-21 00:00:00,598000.00,1940's Traditional in desirable NE Monrovia neighborhood within Gold Ribbon School boundry. This 2 bedroom 1 bath home features an open concept living room dining room w/hardwood floors and playroom t,2,1,,bedrooms
1143 Crowne Drive,316009971,ITECH,2016-11-02 00:00:00,3000.00,"Light-filled 3 bedroom, 2 bath Townhome that feels like a single family residence in great Rose Court neighborhood. This Craftsman style home features beautifully redone hardwood floors in the main li",3,2,Free Standing Gas,bedrooms
2331 North Orchard Drive,316010002,ITECH,2016-10-25 00:00:00,899000.00,"Welcome Home! This beautiful home offers 3 bedrooms, 2 baths with 2004 sq ft of living space. Enjoy gathering in your living room by one of the fireplaces that is connected to the spacious dining area",3,1,Built-In BBQ,bedrooms
1710 East Mendocino Street,316010040,ITECH,2016-10-26 00:00:00,899000.00,"Nestled in the scenic foothills of the San Gabriel Mountains, this beautifully maintained mid-century ranch is a composition of large, light-filled spacesa generous canvas to make your own. The 9,520-",3,1,,bedrooms
1121 Hillcroft Road,316010077,ITECH,2016-10-27 12:33:34,1895000.00,"This sensational 1927 Spanish Colonial, revived to perfection, stands proudest among the other notable properties in this most coveted location of Rossmoyne Historic District. Rossmoyne is one of Glen",4,4,,bedrooms
370 South Berkeley Avenue,316010117,ITECH,2016-10-28 00:00:00,1699000.00,"Nothing defines Southern California real estate like the understated elegance of a two-story Spanish Revival home. Located in the prestigious Cal Tech area of Pasadena, with San Marino just a block aw",4,1,,bedrooms
929 Old Mill Road,316010138,ITECH,2016-11-01 00:00:00,1998000.00,"This modern contemporary home resides on a corner lot in the upscale Langham Area of Pasadena, a neighborhood characterized by rolling, oak-covered terrain on the base of the picturesque San Gabriel M",3,3,Built-In Gas,bedrooms
3263 Orlando Road,316010184,ITECH,2016-10-31 00:00:00,3950.00,"San Marino Schools! Located in a quiet cul de sac, this traditional single story ranch home has 4 bedrooms and 3.5 bath including permitted guest house ( approx.545 sqft) in San Marino school district",4,3,,bedrooms
555 Sierra Madre Boulevard,316010241,ITECH,2016-11-02 11:55:26,2485000.00,"Located in the desirable city of San Marino, near the prestigious Huntington Library, perched up and set back from the street, is this 4 bedrooms 4 baths whimsical traditional. It has been extensively",4,1,Free Standing Gas,bedrooms
265 West California Boulevard #8,316010261,ITECH,2016-11-03 07:20:11,608000.00,"Fantastic three bedroom townhome located in Cal Ritz-Park complex across from Singer Park. Conveniently located close to Old Town, Rose Parade route, Huntington Hospital. This unit is bright and light",3,1,Cooktop - Gas,bedrooms
0 Roselawn,316010267,ITECH,2016-11-03 00:00:00,150000.00,Great Opportunity! Buyer needs to check with City of Glendale and LA County Flood Control for possible specific uses of this property. Plans drawn in 2005 are available for viewing.,0,,
766 Elmira Street,316010316,ITECH,2016-11-05 06:16:15,540000.00,"Charming, updated (approx 4 years ago) Spanish-style single family framed by lovely landscaping. Truly move-in ready. Centrally located, close to shopping, with easy freeway access. The remodeled kitc",3,1,Built-In Gas,bedrooms
560 Chaparral Court,316010376,ITECH,2016-11-07 00:00:00,5000.00,"Set against the backdrop of the majestic San Gabriel Mountains, this beautiful single-level Spainsh home rests behind the gates of La Vina in Altadena. Enter through the lush courtyard to the front do",3,3,Built-In Gas,bedrooms
391 West Harriet Street,316010426,ITECH,2016-11-10 00:00:00,650000.00,"Wonderful traditional 3 bedrooms, 2 bathrooms home located in Altadena. Granite counter-tops in the kitchen and baths, newer cabinets throughout. Light and bright living room with fireplace, formal di",3,2,RangeOven,bedrooms
2079 Skyview Drive,316010451,ITECH,2016-11-09 00:00:00,2175000.00,A dramatic backdrop of the San Gabriel Mountains and mature scenery frames the magnificent setting for this superb Mediterranean revival located in Altadena's premier estate area. Home to a celebrity ,5,5,,bedrooms
3301 Vickers Drive,316010501,ITECH,2016-11-11 00:00:00,1150000.00,"Beautiful one owner home in prime Montecito Park location. This single story residence features 4 bedrooms, 2.5 baths. New wood flooring throughout most of the house. Spacious master suite with ample ",4,1,,bedrooms
27815 Zion Court,316010528,ITECH,2016-11-13 00:00:00,569900.00,Beautiful Hillcrest home for sale with 4 bedrooms (1 downstairs) and 3 baths. Upon entering you will be greeted with a beautiful living room with high ceilings along with dining area. Enjoy entertaini,4,3,Oven,bedrooms
5042 Indianola Way,316010536,ITECH,2016-11-14 00:00:00,2600000.00,"5042 Indianola Way is a one of a kind property, located on a desirable cul-de-sac in La Canada Flintridge, close to Paradise Canyon Elementary and town. This handsome single story traditional home fea",5,4,Built-In BBQ,bedrooms
574 Garfield Avenue,316010634,ITECH,2016-11-18 00:00:00,785000.00,Located in the prestigious and desirable Franciscan Woods. This tri-level townhouse is exceptional in every aspect. The newly built front deck is ideal for relaxing and entertaining with amazing views,2,3,Built-Ins,bedrooms
